"CORE","X","Y","LONG","LAT","Z","SITE"
"1020/3",10,-10,16.98569,-5.0157,-0.75,"Church"
"1020/4",10,-30,16.98568,-5.01553,-1.06,"Church"
"1020/5",10,-40,16.98567,-5.01543,-1.39,"Church"
"1020/6",10,-50,16.98565,-5.01553,-1.83,"Church"
"1020/7",15,-30,NA,NA,-1.34,"Church"
"1030/3",25,20,NA,NA,2.73,"School"
"1030/4",25,10,NA,NA,2.81,"School"
"1030/5",25,0,NA,NA,2.89,"School"
"1030/6",31,0,NA,NA,3,"School"
"1030/7",31,10,NA,NA,3.06,"School"
"1030/8",31,20,NA,NA,3.05,"School"
"1030/9",35,20,NA,NA,3.27,"School"
