"CORE","UNIT","T","B","MUNSELL","soil","note"
"1020/3","-1",0,12,NA,"Ausfall",NA
"1020/3","-1",12,150,"7.5YR 4/2","Sand",NA
"1020/3","-8",150,250,"7.5YR 5/2",NA,NA
"1020/3","-13",250,300,"7.5YR 6/8",NA,NA
"1020/4","-1",0,10,NA,"Ausfall",NA
"1020/4","-1",10,20,"10YR 5/2","lockerer Sand","10YR 5/1"
"1020/4","-1",20,90,"7.5YR 5/6","kompakter Sand",NA
"1020/4","-1",90,100,"5YR 4/2","kompakter Sand",NA
"1020/5","-1",0,6,NA,"Ausfall",NA
"1020/5","-1",6,40,"2.5Y 4/4",NA,NA
"1020/5","-1",40,200,"7.5YR 4/4",NA,NA
"1020/5","-13",200,300,"7.5YR 5/8",NA,NA
"1020/6","-1",0,8,NA,"Ausfall",NA
"1020/6","-1",8,20,"7.5YR 5/2","lockerer Sand","7.5YR 5/1"
"1020/6","-1",20,90,"10YR 5/4","fester Sand","10YR 5/3"
"1020/6","-1",90,200,"7.5YR 4/4","fester Sand",NA
"1020/6","-6/-13",200,300,"7.5YR 5/8","fester Sand",NA
"1020/7","-1",0,10,"2.5Y 4/4",NA,NA
"1020/7","-1",10,40,"7.5YR 4/4",NA,NA
"1020/7","-1",40,70,"10YR 5/4",NA,"10YR 5/3"
"1020/7","-1",70,100,"7.5YR 6/4",NA,NA
"1020/7","-7/-13",100,300,"7.5YR 5/8",NA,NA
"1030/3","-1",0,10,"7.5YR 4/2",NA,NA
"1030/3","-1",10,100,"10YR 4/2",NA,"10YR 4/3"
"1030/4","-1",0,8,NA,"Ausfall","Ausfall"
"1030/4","-1",8,15,"10YR 5/2","loser Sand","10YR 5/1"
"1030/4","-1",15,50,"7.5YR 5/2","loser Sand",NA
"1030/4","-1",50,80,"10YR 6/4","loser Sand",NA
"1030/4","-1",80,100,"7.5YR 5/8","Sand; gefleckt",NA
"1030/5","-1",0,10,"2.5YR 4/2","loser Sand",NA
"1030/5","-1",10,100,"10YR 4/4",NA,"10YR 4/3"
"1030/6","-1",0,10,"2.5YR 4/2",NA,NA
"1030/6","-1",10,100,"7.5YR 4/4",NA,NA
"1030/7","-2",0,15,"2.5Y 4/4",NA,NA
"1030/7","-2",15,100,"10YR 4/4",NA,"10YR 4/3"
"1030/8","-1",0,20,"2.5YR 4/2",NA,NA
"1030/8","-1",20,35,"7.5YR 4/4",NA,NA
"1030/8","-1",35,80,"10YR 5/4",NA,"10YR 5/3"
"1030/8","-1",80,100,"7.5YR 5/6",NA,NA
"1030/9",NA,NA,NA,NA,NA,NA
